Timestamp,Temp,IAQ,Volume,Hum,VOC,Arbeitsplatz_besetzt,Fenster_offen,Regen
"31.7.2025, 12:48:17",21.46,74.61,47.18,47.95,0.87,1,0,0
"31.7.2025, 12:48:21",21.47,74.9,47.29,47.89,0.88,1,0,0
"31.7.2025, 12:48:25",21.47,75,47.4,47.92,0.88,1,0,0
"31.7.2025, 12:48:29",21.48,74.65,47.47,47.87,0.87,1,0,0
"31.7.2025, 12:48:33",21.49,74.69,47.55,47.9,0.88,1,0,0
"31.7.2025, 12:48:38",21.5,74.28,47.56,47.89,0.87,1,0,0
"31.7.2025, 12:48:42",21.51,74.18,47.6,47.84,0.87,1,0,0
"31.7.2025, 12:48:46",21.52,74.05,47.52,47.83,0.86,1,0,0
"31.7.2025, 12:48:50",21.52,73.44,47.5,47.85,0.85,1,0,0
"31.7.2025, 12:48:54",21.54,73.9,47.53,47.79,0.86,1,0,0
"31.7.2025, 12:48:58",21.54,74.36,47.62,47.82,0.87,1,0,0
"31.7.2025, 13:18:21",22.65,77.33,47.86,46.44,0.93,1,0,0
"31.7.2025, 13:18:25",22.65,77.49,47.77,46.47,0.93,1,0,0
"31.7.2025, 13:18:29",22.66,77.57,47.7,46.43,0.93,1,0,0
"31.7.2025, 13:18:33",22.66,77.55,47.72,46.45,0.93,1,0,0
"31.7.2025, 13:18:37",22.65,77.3,47.75,46.47,0.93,1,0,0
"31.7.2025, 13:18:41",22.66,77.43,47.9,46.45,0.93,1,0,0
"31.7.2025, 13:18:45",22.66,77.59,47.88,46.48,0.93,1,0,0
"31.7.2025, 13:18:49",22.66,77.77,47.82,46.46,0.94,1,0,0
"31.7.2025, 13:18:53",22.67,77.79,47.79,46.47,0.94,1,0,0
"31.7.2025, 13:18:57",22.67,77.8,47.78,46.48,0.94,1,0,0
"31.7.2025, 13:19:01",22.67,78.03,47.85,46.47,0.94,1,0,0
"31.7.2025, 13:19:05",22.67,77.84,47.82,46.47,0.94,1,0,0
"31.7.2025, 13:19:09",22.66,77.49,47.83,46.48,0.93,1,0,0
"31.7.2025, 13:19:13",22.67,77.96,47.95,46.45,0.94,1,0,0
"31.7.2025, 13:19:17",22.68,77.95,47.85,46.44,0.94,1,0,0
"31.7.2025, 13:19:21",22.67,77.86,47.95,46.47,0.94,1,0,0
"31.7.2025, 13:19:25",22.67,77.72,47.8,46.48,0.94,1,0,0
"31.7.2025, 13:19:29",22.68,77.77,47.79,46.45,0.94,1,0,0
"31.7.2025, 13:19:33",22.67,77.63,47.74,46.49,0.94,1,0,0
"31.7.2025, 13:19:37",22.69,77.45,47.8,46.43,0.93,1,0,0
"31.7.2025, 13:19:41",22.69,76.83,47.75,46.44,0.92,1,0,0
"31.7.2025, 13:19:45",22.69,76.64,47.76,46.43,0.91,1,0,0
"31.7.2025, 13:19:49",22.69,77.06,47.67,46.44,0.92,1,0,0
"31.7.2025, 13:19:53",22.69,77.2,47.65,46.44,0.93,1,0,0
"31.7.2025, 13:19:57",22.7,77.19,47.67,46.43,0.93,1,0,0
"31.7.2025, 13:20:01",22.7,77.34,47.56,46.46,0.93,1,0,0
"31.7.2025, 13:20:05",22.7,77.05,47.49,46.42,0.92,1,0,0
"31.7.2025, 13:20:09",22.7,77.06,47.29,46.44,0.92,1,0,0
"31.7.2025, 13:20:13",22.71,77.07,47.27,46.39,0.92,1,0,0
"31.7.2025, 13:20:17",22.71,77.31,47.25,46.43,0.93,1,0,0
"31.7.2025, 13:20:21",22.71,77.38,47.24,46.45,0.93,1,0,0
"31.7.2025, 13:20:25",22.7,77.5,47.17,46.46,0.93,1,0,0
"31.7.2025, 13:20:29",22.71,77.74,47.24,46.43,0.94,1,0,0
"31.7.2025, 13:20:33",22.71,77.82,47.29,46.42,0.94,1,0,0
"31.7.2025, 13:20:37",22.71,77.7,47.43,46.45,0.94,1,0,0
"31.7.2025, 13:20:41",22.71,77.93,47.54,46.43,0.94,1,0,0
"31.7.2025, 13:20:45",22.72,78.16,47.67,46.42,0.95,1,0,0
"31.7.2025, 13:20:49",22.72,77.84,47.78,46.43,0.94,1,0,0
"31.7.2025, 13:20:53",22.72,77.74,47.92,46.42,0.94,1,0,0
"31.7.2025, 13:20:57",22.72,77.62,48.39,46.43,0.94,1,0,0
"31.7.2025, 13:21:01",22.73,77.84,48.61,46.44,0.94,1,0,0
"31.7.2025, 13:21:05",22.72,78.03,48.72,46.42,0.94,1,0,0
"31.7.2025, 13:21:09",22.73,77.8,48.99,46.4,0.94,1,0,0
"31.7.2025, 13:21:13",22.74,77.94,49.3,46.41,0.94,1,0,0
"31.7.2025, 13:21:17",22.74,77.63,49.67,46.41,0.94,1,0,0
"31.7.2025, 13:21:21",22.74,77.57,49.9,46.42,0.93,1,0,0
"31.7.2025, 13:21:25",22.74,77.52,50.21,46.42,0.93,1,0,0
"31.7.2025, 13:21:29",22.74,77.41,50.7,46.41,0.93,1,0,0
"31.7.2025, 13:21:33",22.75,77.4,51.01,46.41,0.93,1,0,0
"31.7.2025, 13:21:37",22.75,77.47,51.14,46.41,0.93,1,0,0
"31.7.2025, 13:21:41",22.75,77.5,51.21,46.4,0.93,1,0,0
"31.7.2025, 13:21:45",22.75,77.45,51.32,46.39,0.93,1,0,0
"31.7.2025, 13:21:49",22.76,77.79,51.39,46.39,0.94,1,0,0
"31.7.2025, 13:21:53",22.75,77.79,51.58,46.38,0.94,1,0,0
"31.7.2025, 13:21:57",22.76,77.71,51.91,46.38,0.94,1,0,0
"31.7.2025, 13:22:01",22.76,77.64,52.2,46.38,0.94,1,0,0
"31.7.2025, 13:22:05",22.77,77.59,52.37,46.36,0.93,1,0,0
"31.7.2025, 13:22:10",22.77,77.7,52.5,46.36,0.94,1,0,0
"31.7.2025, 13:22:14",22.77,77.78,52.67,46.35,0.94,1,0,0
"31.7.2025, 13:22:18",22.78,77.51,52.98,46.34,0.93,1,0,0
"31.7.2025, 13:22:22",22.77,77.96,53.33,46.35,0.94,1,0,0
"31.7.2025, 13:22:26",22.78,77.68,53.5,46.33,0.94,1,0,0
"31.7.2025, 13:22:30",22.78,77.97,53.69,46.36,0.94,1,0,0
"31.7.2025, 13:22:34",22.79,77.93,53.79,46.32,0.94,1,0,0
"31.7.2025, 13:22:38",22.79,77.8,53.7,46.32,0.94,1,0,0
"31.7.2025, 13:22:42",22.8,77.87,53.9,46.32,0.94,1,0,0
"31.7.2025, 13:22:46",22.8,78.17,54.07,46.3,0.95,1,0,0
"31.7.2025, 13:22:50",22.8,78.33,54.25,46.3,0.95,1,0,0
"31.7.2025, 13:22:54",22.8,78.07,54.42,46.3,0.94,1,0,0
"31.7.2025, 13:22:58",22.8,78.13,54.37,46.3,0.95,1,0,0
"31.7.2025, 13:23:02",22.81,77.73,54.78,46.3,0.94,1,0,0
"31.7.2025, 13:23:06",22.81,77.73,54.92,46.3,0.94,1,0,0
"31.7.2025, 13:23:10",22.81,77.7,54.88,46.35,0.94,1,0,0
"31.7.2025, 13:23:14",22.82,77.8,54.5,46.33,0.94,1,0,0
"31.7.2025, 13:23:18",22.82,78.05,54.15,46.3,0.94,1,0,0
"31.7.2025, 13:23:22",22.82,78.13,53.92,46.33,0.95,1,0,0
"31.7.2025, 13:23:26",22.82,77.93,53.56,46.35,0.94,1,0,0
"31.7.2025, 13:23:30",22.82,78.12,53.33,46.32,0.95,1,0,0
"31.7.2025, 13:23:34",22.83,78.16,53.12,46.3,0.95,1,0,0
"31.7.2025, 13:23:38",22.83,78.48,52.95,46.32,0.95,1,0,0
"31.7.2025, 13:23:42",22.83,78.31,52.94,46.31,0.95,1,0,0
"31.7.2025, 13:23:46",22.83,78.43,52.78,46.31,0.95,1,0,0
"31.7.2025, 13:23:50",22.84,78.34,52.88,46.32,0.95,1,0,0
"31.7.2025, 13:23:54",22.84,78.65,52.68,46.34,0.96,1,0,0
"31.7.2025, 13:23:58",22.84,78.3,52.25,46.37,0.95,1,0,0
"31.7.2025, 13:24:02",22.84,78.41,52.05,46.37,0.95,1,0,0
"31.7.2025, 13:24:06",22.85,78.5,51.95,46.36,0.95,1,0,0
"31.7.2025, 13:24:10",22.85,78.55,51.93,46.34,0.96,1,0,0
"31.7.2025, 13:24:14",22.85,78.95,51.66,46.37,0.96,1,0,0
"31.7.2025, 13:24:18",22.86,78.83,51.43,46.36,0.96,1,0,0
"31.7.2025, 13:24:22",22.86,78.81,51.22,46.39,0.96,1,0,0
"31.7.2025, 13:24:26",22.86,78.87,51.13,46.37,0.96,1,0,0
"31.7.2025, 13:24:30",22.87,79.12,50.9,46.34,0.97,1,0,0
"31.7.2025, 13:24:34",22.87,78.91,50.8,46.38,0.96,1,0,0
"31.7.2025, 13:24:38",22.87,78.88,50.6,46.38,0.96,1,0,0
"31.7.2025, 13:24:42",22.87,79.01,50.43,46.36,0.97,1,0,0
"31.7.2025, 13:24:46",22.87,79.2,50.02,46.38,0.97,1,0,0
"31.7.2025, 13:24:50",22.89,79.04,49.8,46.36,0.97,1,0,0
"31.7.2025, 13:24:54",22.88,79.07,49.48,46.39,0.97,1,0,0
"31.7.2025, 13:24:58",22.89,78.78,49.11,46.37,0.96,1,0,0
"31.7.2025, 13:25:02",22.89,78.86,48.61,46.37,0.96,1,0,0
"31.7.2025, 13:25:06",22.89,78.98,48.47,46.37,0.96,1,0,0
"31.7.2025, 13:25:10",22.9,79.17,48.28,46.36,0.97,1,0,0
"31.7.2025, 13:25:14",22.91,79.23,48.3,46.38,0.97,1,0,0
"31.7.2025, 13:25:18",22.9,79.2,48.28,46.36,0.97,1,0,0
"31.7.2025, 13:25:22",22.91,79.26,48.31,46.35,0.97,1,0,0
"31.7.2025, 13:25:26",22.9,79.04,48.32,46.35,0.97,1,0,0
"31.7.2025, 13:25:30",22.92,79.02,48.22,46.37,0.97,1,0,0
"31.7.2025, 13:25:34",22.91,79.24,48.11,46.37,0.97,1,0,0
"31.7.2025, 13:25:38",22.91,79.22,48.12,46.38,0.97,1,0,0
"31.7.2025, 13:25:42",22.92,79.28,48.03,46.33,0.97,1,0,0
"31.7.2025, 13:25:46",22.93,79.3,47.91,46.29,0.97,1,0,0
"31.7.2025, 13:25:50",22.93,79.24,47.71,46.28,0.97,1,0,0
"31.7.2025, 13:25:54",22.93,79.19,47.61,46.31,0.97,1,0,0
"31.7.2025, 13:25:58",22.93,79.54,47.7,46.32,0.98,1,0,0
"31.7.2025, 13:26:02",22.93,79.37,47.71,46.33,0.97,1,0,0
"31.7.2025, 13:26:06",22.94,79.63,47.9,46.31,0.98,1,0,0
"31.7.2025, 13:26:10",22.94,79.01,47.96,46.3,0.97,1,0,0
"31.7.2025, 13:26:14",22.95,79.21,47.88,46.31,0.97,1,0,0
"31.7.2025, 13:26:18",22.95,78.86,47.77,46.3,0.96,1,0,0
"31.7.2025, 13:26:22",22.95,79.02,47.67,46.36,0.97,1,0,0
"31.7.2025, 13:26:26",22.95,79.09,47.58,46.34,0.97,1,0,0
"31.7.2025, 13:26:30",22.95,79.06,47.47,46.34,0.97,1,0,0
"31.7.2025, 13:26:34",22.96,79.03,47.35,46.31,0.97,1,0,0
"31.7.2025, 13:26:38",22.96,79.16,47.26,46.32,0.97,1,0,0
"31.7.2025, 13:26:42",22.95,79.24,47.16,46.32,0.97,1,0,0
"31.7.2025, 13:26:46",22.96,79.3,47.21,46.3,0.97,1,0,0
"31.7.2025, 13:26:50",22.96,79.17,47.19,46.29,0.97,1,0,0
"31.7.2025, 13:26:54",22.96,79.08,47.12,46.28,0.97,1,0,0
"31.7.2025, 13:26:58",22.96,79.18,46.91,46.3,0.97,1,0,0
"31.7.2025, 13:27:02",22.97,79.23,46.76,46.28,0.97,1,0,0
"31.7.2025, 13:27:06",22.97,79.41,46.64,46.26,0.97,1,0,0
"31.7.2025, 13:27:10",22.97,79.46,46.64,46.28,0.98,1,0,0
"31.7.2025, 13:27:14",22.97,79.49,46.55,46.28,0.98,1,0,0
"31.7.2025, 13:27:18",22.96,79.36,46.47,46.28,0.97,1,0,0
"31.7.2025, 13:27:22",22.97,79.19,46.37,46.26,0.97,1,0,0
"31.7.2025, 13:27:26",22.97,79.3,46.29,46.23,0.97,1,0,0
"31.7.2025, 13:27:30",22.98,79.53,46.23,46.24,0.98,1,0,0
"31.7.2025, 13:27:34",22.98,79.66,46.18,46.23,0.98,1,0,0
"31.7.2025, 13:27:38",22.98,79.84,46.14,46.24,0.98,1,0,0
"31.7.2025, 13:27:42",22.99,79.95,46.13,46.21,0.99,1,0,0
"31.7.2025, 13:27:46",22.99,79.73,46.12,46.21,0.98,1,0,0
"31.7.2025, 13:27:50",22.98,79.74,46,46.23,0.98,1,0,0
"31.7.2025, 13:27:54",22.99,79.5,45.99,46.23,0.98,1,0,0
"31.7.2025, 13:27:58",22.99,79.33,45.97,46.22,0.97,1,0,0
"31.7.2025, 13:28:02",22.99,79.37,45.81,46.22,0.97,1,0,0
"31.7.2025, 13:28:06",22.99,79.26,45.56,46.2,0.97,1,0,0
"31.7.2025, 13:28:10",23,79.31,45.39,46.19,0.97,1,0,0
"31.7.2025, 13:28:14",22.99,79.35,45.35,46.22,0.97,1,0,0
"31.7.2025, 13:28:18",23,79.68,45.33,46.2,0.98,1,0,0
"31.7.2025, 13:28:22",23,79.44,45.32,46.22,0.97,1,0,0
"31.7.2025, 13:28:26",23,79.51,45.36,46.18,0.98,1,0,0
"31.7.2025, 13:28:30",23,79.7,45.35,46.22,0.98,1,0,0
"31.7.2025, 13:28:34",23,79.6,45.35,46.19,0.98,1,0,0
"31.7.2025, 13:28:38",23.01,79.77,45.34,46.16,0.98,1,0,0
"31.7.2025, 13:28:42",23.01,79.69,45.29,46.18,0.98,1,0,0
"31.7.2025, 13:28:46",23.01,79.67,45.25,46.19,0.98,1,0,0
